Partie_ID,Date,Phase,Tour,Contrat,Type_Contrat,Joueur,Score_Avant,Score_Après,Réussi,Nb,Gain,Classement_final,Cible,Ordre
1,2025-10-08,P1,1,Capital,Points,Ely,0,86,1,,86,2,1,1
1,2025-10-08,P1,1,Capital,Points,Manon,0,36,1,,36,4,1,2
1,2025-10-08,P1,1,Capital,Points,Aurel,0,51,1,,51,1,1,3
1,2025-10-08,P1,1,Capital,Points,Antoine,0,3,1,,3,3,1,4
1,2025-10-08,P1,2,20,Nombre,Ely,86,106,1,1,20,2,1,1
1,2025-10-08,P1,2,20,Nombre,Manon,36,56,1,1,20,4,1,2
1,2025-10-08,P1,2,20,Nombre,Aurel,51,111,1,3,60,1,1,3
1,2025-10-08,P1,2,20,Nombre,Antoine,3,63,1,3,60,3,1,4
1,2025-10-08,P1,3,Suite,Spécial,Ely,106,136,1,,30,2,1,1
1,2025-10-08,P1,3,Suite,Spécial,Manon,56,108,1,,52,4,1,2
1,2025-10-08,P1,3,Suite,Spécial,Aurel,111,193,1,,82,1,1,3
1,2025-10-08,P1,3,Suite,Spécial,Antoine,63,31,0,,-32,3,1,4
1,2025-10-08,P1,4,19,Nombre,Ely,136,155,1,1,19,2,1,1
1,2025-10-08,P1,4,19,Nombre,Manon,108,127,1,1,19,4,1,2
1,2025-10-08,P1,4,19,Nombre,Aurel,193,212,1,1,19,1,1,3
1,2025-10-08,P1,4,19,Nombre,Antoine,31,50,1,1,19,3,1,4
1,2025-10-08,P1,5,Côtés,Spécial,Ely,155,77,0,,-78,2,1,1
1,2025-10-08,P1,5,Côtés,Spécial,Manon,127,63,0,,-64,4,1,2
1,2025-10-08,P1,5,Côtés,Spécial,Aurel,212,106,0,,-106,1,1,3
1,2025-10-08,P1,5,Côtés,Spécial,Antoine,50,25,0,,-25,3,1,4
1,2025-10-08,P1,6,18,Nombre,Ely,77,113,1,2,36,2,1,1
1,2025-10-08,P1,6,18,Nombre,Manon,63,135,1,4,72,4,1,2
1,2025-10-08,P1,6,18,Nombre,Aurel,106,124,1,1,18,1,1,3
1,2025-10-08,P1,6,18,Nombre,Antoine,25,43,1,1,18,3,1,4
1,2025-10-08,P1,7,Couleurs,Spécial,Ely,113,56,0,,-57,2,1,1
1,2025-10-08,P1,7,Couleurs,Spécial,Manon,135,67,0,,-68,4,1,2
1,2025-10-08,P1,7,Couleurs,Spécial,Aurel,124,62,0,,-62,1,1,3
1,2025-10-08,P1,7,Couleurs,Spécial,Antoine,43,88,1,,45,3,1,4
1,2025-10-08,P1,8,17,Nombre,Ely,56,73,1,1,17,2,1,1
1,2025-10-08,P1,8,17,Nombre,Manon,67,118,1,3,51,4,1,2
1,2025-10-08,P1,8,17,Nombre,Aurel,62,79,1,1,17,1,1,3
1,2025-10-08,P1,8,17,Nombre,Antoine,88,122,1,2,34,3,1,4
1,2025-10-08,P1,9,57 pts,Spécial,Ely,73,36,0,,-37,2,1,1
1,2025-10-08,P1,9,57 pts,Spécial,Manon,118,59,0,,-59,4,1,2
1,2025-10-08,P1,9,57 pts,Spécial,Aurel,79,39,0,,-40,1,1,3
1,2025-10-08,P1,9,57 pts,Spécial,Antoine,122,61,0,,-61,3,1,4
1,2025-10-08,P1,10,16,Nombre,Ely,36,68,1,2,32,2,1,1
1,2025-10-08,P1,10,16,Nombre,Manon,59,75,1,1,16,4,1,2
1,2025-10-08,P1,10,16,Nombre,Aurel,39,71,1,2,32,1,1,3
1,2025-10-08,P1,10,16,Nombre,Antoine,61,125,1,4,64,3,1,4
1,2025-10-08,P1,11,Peluche,Spécial,Ely,68,34,0,,-34,2,1,1
1,2025-10-08,P1,11,Peluche,Spécial,Manon,75,37,0,,-38,4,1,2
1,2025-10-08,P1,11,Peluche,Spécial,Aurel,71,30,0,,-41,1,1,3
1,2025-10-08,P1,11,Peluche,Spécial,Antoine,125,62,0,,-63,3,1,4
1,2025-10-08,P1,12,15,Nombre,Ely,34,49,1,1,15,2,1,1
1,2025-10-08,P1,12,15,Nombre,Manon,37,52,1,1,15,4,1,2
1,2025-10-08,P1,12,15,Nombre,Aurel,30,75,1,3,45,1,1,3
1,2025-10-08,P1,12,15,Nombre,Antoine,62,92,1,2,30,3,1,4
1,2025-10-08,P1,13,Triple,Spécial,Ely,49,24,0,,-25,2,1,1
1,2025-10-08,P1,13,Triple,Spécial,Manon,52,26,0,,-26,4,1,2
1,2025-10-08,P1,13,Triple,Spécial,Aurel,75,93,1,,18,1,1,3
1,2025-10-08,P1,13,Triple,Spécial,Antoine,92,46,0,,-46,3,1,4
1,2025-10-08,P1,14,14,Nombre,Ely,24,38,1,1,14,2,1,1
1,2025-10-08,P1,14,14,Nombre,Manon,26,96,1,5,70,4,1,2
1,2025-10-08,P1,14,14,Nombre,Aurel,93,121,1,2,28,1,1,3
1,2025-10-08,P1,14,14,Nombre,Antoine,46,60,1,1,14,3,1,4
1,2025-10-08,P1,15,Double,Spécial,Ely,38,19,0,,-19,2,1,1
1,2025-10-08,P1,15,Double,Spécial,Manon,96,110,1,,14,4,1,2
1,2025-10-08,P1,15,Double,Spécial,Aurel,121,60,0,,-61,1,1,3
1,2025-10-08,P1,15,Double,Spécial,Antoine,60,30,0,,-30,3,1,4
1,2025-10-08,P1,16,13,Nombre,Ely,19,58,1,3,39,2,1,1
1,2025-10-08,P1,16,13,Nombre,Manon,110,55,0,"-4,230769231",-55,4,1,2
1,2025-10-08,P1,16,13,Nombre,Aurel,60,99,1,3,39,1,1,3
1,2025-10-08,P1,16,13,Nombre,Antoine,30,56,1,2,26,3,1,4
1,2025-10-08,P1,17,25,Spécial,Ely,58,83,1,1,25,2,1,1
1,2025-10-08,P1,17,25,Spécial,Manon,55,27,0,"-1,12",-28,4,1,2
1,2025-10-08,P1,17,25,Spécial,Aurel,99,124,1,1,25,1,1,3
1,2025-10-08,P1,17,25,Spécial,Antoine,56,28,0,"-1,12",-28,3,1,4
2,2025-10-08,P1,1,Capital,Points,Q2,0,80,1,,80,1,2,1
2,2025-10-08,P1,1,Capital,Points,Remi,0,16,1,,16,2,2,2
2,2025-10-08,P1,1,Capital,Points,Béné,0,41,1,,41,3,2,3
2,2025-10-08,P1,1,Capital,Points,Hepa,0,22,1,,22,4,2,4
2,2025-10-08,P1,2,20,Nombre,Q2,80,140,1,3,60,1,2,1
2,2025-10-08,P1,2,20,Nombre,Remi,16,8,0,"-0,4",-8,2,2,2
2,2025-10-08,P1,2,20,Nombre,Béné,41,20,0,"-1,05",-21,3,2,3
2,2025-10-08,P1,2,20,Nombre,Hepa,22,11,0,"-0,55",-11,4,2,4
2,2025-10-08,P1,3,Suite,Spécial,Q2,140,70,0,,-70,1,2,1
2,2025-10-08,P1,3,Suite,Spécial,Remi,8,4,0,,-4,2,2,2
2,2025-10-08,P1,3,Suite,Spécial,Béné,20,10,0,,-10,3,2,3
2,2025-10-08,P1,3,Suite,Spécial,Hepa,11,5,0,,-6,4,2,4
2,2025-10-08,P1,4,19,Nombre,Q2,70,127,1,3,57,1,2,1
2,2025-10-08,P1,4,19,Nombre,Remi,4,2,0,"-0,1052631579",-2,2,2,2
2,2025-10-08,P1,4,19,Nombre,Béné,10,29,1,1,19,3,2,3
2,2025-10-08,P1,4,19,Nombre,Hepa,5,43,1,2,38,4,2,4
2,2025-10-08,P1,5,Côtés,Spécial,Q2,127,63,0,,-64,1,2,1
2,2025-10-08,P1,5,Côtés,Spécial,Remi,2,1,0,,-1,2,2,2
2,2025-10-08,P1,5,Côtés,Spécial,Béné,29,14,0,,-15,3,2,3
2,2025-10-08,P1,5,Côtés,Spécial,Hepa,43,21,0,,-22,4,2,4
2,2025-10-08,P1,6,18,Nombre,Q2,63,31,0,"-1,777777778",-32,1,2,1
2,2025-10-08,P1,6,18,Nombre,Remi,1,0,0,"-0,05555555556",-1,2,2,2
2,2025-10-08,P1,6,18,Nombre,Béné,14,32,1,1,18,3,2,3
2,2025-10-08,P1,6,18,Nombre,Hepa,21,10,0,"-0,6111111111",-11,4,2,4
2,2025-10-08,P1,7,Couleurs,Spécial,Q2,31,15,0,,-16,1,2,1
2,2025-10-08,P1,7,Couleurs,Spécial,Remi,0,0,0,,0,2,2,2
2,2025-10-08,P1,7,Couleurs,Spécial,Béné,32,16,0,,-16,3,2,3
2,2025-10-08,P1,7,Couleurs,Spécial,Hepa,10,5,0,,-5,4,2,4
2,2025-10-08,P1,8,17,Nombre,Q2,15,66,1,3,51,1,2,1
2,2025-10-08,P1,8,17,Nombre,Remi,0,0,0,0,0,2,2,2
2,2025-10-08,P1,8,17,Nombre,Béné,16,33,1,1,17,3,2,3
2,2025-10-08,P1,8,17,Nombre,Hepa,5,22,1,1,17,4,2,4
2,2025-10-08,P1,9,57 pts,Spécial,Q2,66,33,0,,-33,1,2,1
2,2025-10-08,P1,9,57 pts,Spécial,Remi,0,0,0,,0,2,2,2
2,2025-10-08,P1,9,57 pts,Spécial,Béné,33,16,0,,-17,3,2,3
2,2025-10-08,P1,9,57 pts,Spécial,Hepa,22,11,0,,-11,4,2,4
2,2025-10-08,P1,10,16,Nombre,Q2,33,65,1,2,32,1,2,1
2,2025-10-08,P1,10,16,Nombre,Remi,0,0,0,0,0,2,2,2
2,2025-10-08,P1,10,16,Nombre,Béné,16,8,0,"-0,5",-8,3,2,3
2,2025-10-08,P1,10,16,Nombre,Hepa,11,27,1,1,16,4,2,4
2,2025-10-08,P1,11,Peluche,Spécial,Q2,65,32,0,,-33,1,2,1
2,2025-10-08,P1,11,Peluche,Spécial,Remi,0,0,0,,0,2,2,2
2,2025-10-08,P1,11,Peluche,Spécial,Béné,8,4,0,,-4,3,2,3
2,2025-10-08,P1,11,Peluche,Spécial,Hepa,27,13,0,,-14,4,2,4
2,2025-10-08,P1,12,15,Nombre,Q2,32,77,1,3,45,1,2,1
2,2025-10-08,P1,12,15,Nombre,Remi,0,0,0,0,0,2,2,2
2,2025-10-08,P1,12,15,Nombre,Béné,4,19,1,1,15,3,2,3
2,2025-10-08,P1,12,15,Nombre,Hepa,13,58,1,3,45,4,2,4
2,2025-10-08,P1,13,Triple,Spécial,Q2,77,185,1,,108,1,2,1
2,2025-10-08,P1,13,Triple,Spécial,Remi,0,0,0,,0,2,2,2
2,2025-10-08,P1,13,Triple,Spécial,Béné,19,9,0,,-10,3,2,3
2,2025-10-08,P1,13,Triple,Spécial,Hepa,58,73,1,,15,4,2,4
2,2025-10-08,P1,14,14,Nombre,Q2,185,213,1,2,28,1,2,1
2,2025-10-08,P1,14,14,Nombre,Remi,0,42,1,3,42,2,2,2
2,2025-10-08,P1,14,14,Nombre,Béné,9,23,1,1,14,3,2,3
2,2025-10-08,P1,14,14,Nombre,Hepa,73,87,1,1,14,4,2,4
2,2025-10-08,P1,15,Double,Spécial,Q2,213,106,0,,-107,1,2,1
2,2025-10-08,P1,15,Double,Spécial,Remi,42,21,0,,-21,2,2,2
2,2025-10-08,P1,15,Double,Spécial,Béné,23,11,0,,-12,3,2,3
2,2025-10-08,P1,15,Double,Spécial,Hepa,87,43,0,,-44,4,2,4
2,2025-10-08,P1,16,13,Nombre,Q2,106,53,0,"-4,076923077",-53,1,2,1
2,2025-10-08,P1,16,13,Nombre,Remi,21,10,0,"-0,8461538462",-11,2,2,2
2,2025-10-08,P1,16,13,Nombre,Béné,11,24,1,1,13,3,2,3
2,2025-10-08,P1,16,13,Nombre,Hepa,43,21,0,"-1,692307692",-22,4,2,4
2,2025-10-08,P1,17,25,Spécial,Q2,53,78,1,1,25,1,2,1
2,2025-10-08,P1,17,25,Spécial,Remi,10,60,1,2,50,2,2,2
2,2025-10-08,P1,17,25,Spécial,Béné,24,12,0,"-0,48",-12,3,2,3
